TrackingNum,SampleDate,ProjectName,Marsh,Sample&SET,pH,%Organic Matter,Soil Type,P (lbs/acre),K (lbs/acre),Mg (lbs/acre),Ca (lbs/acre),Zn (ppm),Cu (ppm),Mn (ppm),B (ppm),Fe (ppm),S (ppm),Pb (ppm),Salts (mmho/cm),Total N,BD g/cm^3,%clay,%silt,%sand,NH4-N mg/kg Soil,NO3-N mg/kg soil,Elevation (NAVD88 ft),,pH diff,LOI diff
24906,4/22/2025,SSIM,Hutchinson River,S02 - SET 2,4.44,23.90%,Organic Soil-fibric,58,1047,1800,1158,22.74,16.04,14.62,7.57,308.6,1275.92,255.3,18.76,0.77%,N/A,N/A,N/A,N/A,N/A,N/A,3.136,,,
24907,4/22/2025,SSIM,Hutchinson River,S03 - SET 3,5.01,42.20%,Organic Soil-fibric,85,956,1800,1368,14.4,8.21,4.09,9.66,213.39,1105.65,149.67,19.36,1.20%,N/A,N/A,N/A,N/A,N/A,N/A,3.645,,,
24908,4/22/2025,SSIM,Pelham Bay Cove,S01 - SET 1,4.03,37.10%,Organic Soil-fibric,113,794,1655,910,4.93,7,5.67,5.57,239.03,944.8,90.67,11.97,0.97%,N/A,N/A,N/A,N/A,N/A,N/A,3.868,,,
24909,4/22/2025,SSIM,Pelham Bay Cove,S02 - SET 2,4.79,35.80%,organic Soil-fibric,89,1012,1800,1351,13,7.69,27.85,10.02,311.12,1017.74,161.67,17.67,1.08%,N/A,N/A,N/A,N/A,N/A,N/A,3.945,,,
24910,4/22/2025,SSIM,Pelham Bay Cove,S03 - SET 3,6.01,26.40%,Organic Soil-fibric,73,990,1774,2379,5.95,9.97,15.97,6.87,190.88,571.44,132,15.58,0.78%,N/A,N/A,N/A,N/A,N/A,N/A,3.966,,,
24911,4/7/2025,SSIM,Spring Creek,S01 - SET1,3.36,48.20%,Organic Soil-fibric,36,950,1800,1763,16.68,2.42,11.43,11.9,592.8,2630.55,190.67,17.23,1.68%,N/A,N/A,N/A,N/A,N/A,N/A,2.302,,,
24912,4/7/2025,SSIM,Spring Creek,S02 - SET2,3.31,44.00%,Organic Soil-fibric,18,516,1357,782,12.91,2.42,12.55,7.48,534.56,1287.83,205.3,17.77,1.42%,N/A,N/A,N/A,N/A,N/A,N/A,2.153,,,
24913,4/7/2025,SSIM,Spring Creek,S03 - SET3,3.16,44.30%,Organic Soil-fibric,29,884,1800,1492,10.64,2.22,13.55,9.99,629.05,2448.61,140.3,25.52,1.48%,N/A,N/A,N/A,N/A,N/A,N/A,2.822,,,
24914,4/7/2025,SSIM,Idlewild Park,S01 - SET1,4.44,52.90%,Organic Soil-fibric,45,986,1800,1661,16.95,2.97,26.46,11.65,384.18,1800.28,96,22.26,2.00%,N/A,N/A,N/A,N/A,N/A,N/A,2.318,,,
24915,4/7/2025,SSIM,Idlewild Park,S02 - SET2,6.02,44.40%,Organic Soil-fibric,143,1298,1800,1925,18.16,4.36,41.03,17.16,313.34,898.37,131,22.36,1.72%,N/A,N/A,N/A,N/A,N/A,N/A,2.04,,,
24916,4/7/2025,SSIM,Idlewild Park,S03 - SET3,5.08,51.70%,Organic Soil-fibric,91,1276,1800,1855,9.92,3.72,31.82,13.89,221.33,1359.52,84.67,27.11,2.04%,N/A,N/A,N/A,N/A,N/A,N/A,2.007,,,
24917,4/23/2025,SSIM,Udalls Cove,S01 - SET1,4.15,37.80%,Organic Soil-fibric,65,824,1800,1016,10.51,6.46,5.26,6.96,265.52,1076.69,124,16.7,1.15%,N/A,N/A,N/A,N/A,N/A,N/A,3.73,,,
24918,4/23/2025,SSIM,Udalls Cove,S02 - SET2,3.68,24.20%,Organic Soil-fibric,87,942,1800,1220,49.97,10.96,7.56,7.02,448.45,1525.52,380.3,18.33,0.80%,N/A,N/A,N/A,N/A,N/A,N/A,2.647,,,
24919,4/23/2025,SSIM,Udalls Cove,S03 - SET3,5.18,53.50%,Silt Loam,109,1279,1800,2457,20.97,13.22,20.93,7.83,391.57,1251.85,175,15.76,0.75%,N/A,N/A,N/A,N/A,N/A,N/A,3.714,,,
